id,name,brand,variant,category,price_in_usd
0,Google Land & Sea Cotton Cap,Google,Single Option Only,Apparel,14
1,Google KeepCup,Google,Single Option Only,New,28
2,Google Land & Sea Nalgene Water Bottle,Google,Single Option Only,Drinkware,20
3,Google Unisex Eco Tee Black,Google, LG,Uncategorized Items,22
4,Google Chicago Campus Bottle,Google,Single Option Only,Campus Collection,11
5,Google SF Campus Zip Hoodie,Google, LG,Clearance,32
6,Google Chicago Campus Unisex Tee,Google, MD,Campus Collection,14
7,Google SF Campus Unisex Tee,Google, SM,Clearance,14
8,Super G Unisex Joggers,Google, LG,Shop by Brand,30
9,Mommy Works at Google Book,Google,Single Option Only,Small Goods,16
10,BLM Unisex Pullover Hoodie,Google, MD,Black Lives Matter,46
11,Google See-No Hear-No Set,Google,Single Option Only,Electronics Accessories,10
12,Google Sherpa Zip Hoodie Navy,Google, MD,Apparel,55
13,Super G Unisex Joggers,Google, SM,Shop by Brand,37
14,Google Campus Bike Bottle,Google,Single Option Only,Lifestyle,22
15,Google Sherpa Zip Hoodie Navy,Google, LG,Apparel,55
16,Google Crewneck Sweatshirt Green,Google, MD,Apparel,44
17,Google Mural Sticker Sheet,Google,Single Option Only,Small Goods,3
18,Google F/C Longsleeve Charcoal,Google, XS,Apparel,24
19,Google Speckled Beanie Navy,Google,Single Option Only,New,16
20,Google NYC Campus Sticker,Google,Single Option Only,Campus Collection,1
21,Google Campus Bike Tote Navy,Google,Single Option Only,Bags,9
22,Google Infant Charcoal Onesie,Google, 3/6 MONTHS,Apparel,20
23,Google Austin Campus Ladies Tee,Google, LG,Campus Collection,14
24,Google Austin Campus Bottle,Google,Single Option Only,Campus Collection,11
25,Google Crew Socks,Google,Single Option Only,Apparel,13
26,Google Clear Framed Blue Shades,Google,Single Option Only,Accessories,3
27,Google Sherpa Zip Hoodie Navy,Google, SM,Apparel,55
28,Google Sherpa Zip Hoodie Navy,Google, XL,Apparel,55
29,Google Zip Hoodie F/C,Google, MD,Apparel,48
30,Google Speckled Beanie Grey,Google,Single Option Only,New,16
31,Google Infant Hero Tee Olive,Google, 3/6 MONTHS,Apparel,14
32,Google Infant Charcoal Onesie,Google, 6/12 MONTHS,Apparel,20
33,Google Sunnyvale Campus Unisex Tee,Google, MD,Campus Collection,14
34,Super G Unisex Joggers,Google, MD,Shop by Brand,30
35,Google SF Campus Ladies Tee,Google, MD,Clearance,14
36,Womens Google Striped LS,Google, MD,Apparel,16
37,Google Unisex Eco Tee Black,Google, SM,Uncategorized Items,18
38,Google Unisex Eco Tee Black,Google, MD,Uncategorized Items,18
39,Google Sustainable Pencil Pouch,Google,Single Option Only,Clearance,8
40,Google Heathered Pom Beanie,Google,Single Option Only,New,12
41,Google Summer19 Crew Grey,Google, LG,Apparel,35
42,Google Women's Microfleece Jacket Black,Google, XL,Uncategorized Items,60
43,Google Recycled Writing Set,Google,Single Option Only,Clearance,3
44,Google Mural Bottle,Google,Single Option Only,Drinkware,19
45,Google SF Campus Bottle,Google,Single Option Only,Campus Collection,11
46,Google LA Campus Bottle,Google,Single Option Only,Campus Collection,11
47,Google Metallic Notebook Set,Google,Single Option Only,Office,5
48,Google Clear Pen 4-Pack,Google,Single Option Only,Office,3
49,Google Decal,Google,Single Option Only,Stationery,1
50,Google Stylus Pen w/ LED Light,Google,Single Option Only,Office,4
51,Google Crewneck Sweatshirt Green,Google, LG,Apparel,44
52,Google Cork Base Tumbler,Google,Single Option Only,New,22
53,Google Sherpa Zip Hoodie Navy,Google, XS,Apparel,55
54,Google Campus Bike Eco Tee Navy,Google, LG,Apparel,20
55,Google NYC Campus Mug,Google,Single Option Only,Campus Collection,7
56,Google Camp Mug Ivory,Google,Single Option Only,Drinkware,10
57,Google Tee Yellow,Google, XS,Clearance,9
58,Google Utility BackPack,Google,Single Option Only,Bags,96
59,Google Incognito Techpack V2,Google,Single Option Only,Bags,70
60,Google Small Standard Journal Navy,Google,Single Option Only,Lifestyle,5
61,Google Blue YoYo,Google,Single Option Only,New,4
62,Google Mini Kick Ball,Google,Single Option Only,Fun,2
63,Google Austin Campus Mug,Google,Single Option Only,Campus Collection,7
64,Google Leather Strap Hat Black,Google,Single Option Only,Apparel,14
65,Google Felt Refillable Journal,Google,Single Option Only,Clearance,16
66,Android SM S/F18 Sticker Sheet,Android,Single Option Only,Accessories,2
67,Android Iconic Sticker Sheet,Android,Single Option Only,New,3
68,Google Pride Sticker,Google,Single Option Only,Shop by Brand,1
69,Google Laptop and Cell Phone Stickers,Google,Single Option Only,Google,3
70,Stan and Friends Tee Green,Google, LG,Apparel,14
71,Android Techie 3D Framed Art,Android,Single Option Only,Accessories,16
72,Android Super Hero 3D Framed Art,Android,Single Option Only,Accessories,16
73,Android Garden Tee Orange,Android, LG,Apparel,16
74,Google Leather Strap Hat Blue,Google,Single Option Only,Apparel,14
75,Google Pen Lilac,Google,Single Option Only,Stationery,1
76,Google Crew Combed Cotton Sock,Google,Single Option Only,Apparel,14
77,YouTube Twill Sandwich Cap Black,YouTube,Single Option Only,Apparel,10
78,Google PNW Campus Mug,Google,Single Option Only,Campus Collection,7
79,Google Cambridge Campus Mug,Google,Single Option Only,Campus Collection,7
80,Google Kirkland Campus Mug,Google,Single Option Only,Campus Collection,7
81,Google Seattle Campus Mug,Google,Single Option Only,Campus Collection,7
82,Google Campus Bike Grid Task Pad,Google,Single Option Only,Office,10
83,Google Mountain View Campus Zip Hoodie,Google, MD,Campus Collection,32
84,Google Pen Neon Coral,Google,Single Option Only,Stationery,1
85,Google Sunnyvale Campus Tote,Google,Single Option Only,Campus Collection,6
86,Google Magnet,Google,Single Option Only,Accessories,6
87,Google Premium Sunglasses,Google,Single Option Only,Accessories,11
88,YouTube Icon Tee Charcoal,YouTube, MD,Apparel,22
89,Google Land & Sea French Terry Sweatshirt,Google, LG,Shop by Brand,44
90,Google Cotopaxi Shell,Google, XL,Apparel,38
91,Google Pen Citron,Google,Single Option Only,Clearance,1
92,Google Large Standard Journal Grey,Google,Single Option Only,Office,16
93,Google Pen Grass Green,Google,Single Option Only,Stationery,2
94,Google Large Tote White,Google,Single Option Only,Bags,10
95,Google Glass Bottle,Google,Single Option Only,Lifestyle,18
96,Google 24 oz Ring Bottle Red,Google,Single Option Only,Google,6
97,Google Red Speckled Tee,Google, MD,Apparel,30
98,Google Toddler FC Tee Charcoal,Google, 3T,Apparel,25
99,Google Heather Green Speckled Tee,Google, LG,Apparel,24
100,Google Youth Badge Tee Olive,Google, LG,Apparel,13
101,Google Split Seam Tee Olive,Google, LG,Apparel,21
102,Google Unisex Eco Tee Black,Google, XS,Uncategorized Items,18
103,Google Incognito Zip Pack,Google,Single Option Only,Bags,61
104,Google Chicago Campus Lapel Pin,Google,Single Option Only,Campus Collection,3
105,Google LoveHandle Black,Google,Single Option Only,New,8
106,Google Blue Kids Sunglasses,Google,Single Option Only,Accessories,4
107,Google Boulder Campus Sticker,Google,Single Option Only,Campus Collection,1
108,Google Recycled Pen Black,Google,Single Option Only,New,2
109,Google Pen Grey,Google,Single Option Only,Office,2
110,Google Boulder Campus Mug,Google,Single Option Only,Campus Collection,8
111,Google Canteen Bottle Black,Google,Single Option Only,Drinkware,24
112,Google Pen White,Google,Single Option Only,Office,2
113,Google Cork Card Holder,Google,Single Option Only,Accessories,17
114,Google Light Pen Blue,Google,Single Option Only,Writing Instruments,2
116,Google Land & Sea Journal Set,Google,Single Option Only,New,12
117,Google Mural Sticky Note Pad,Google,Single Option Only,Office,11
118,Google Confetti Task Pad,Google,Single Option Only,Office,6
119,Google Mural Notebook,Google,Single Option Only,Office,15
121,Google Blue Stojo Cup,Google,Single Option Only,Shop by Brand,25
122,Google Campus Bike,Google,Single Option Only,Accessories,40
123,Google Emoji Magnet Set,Google,Single Option Only,Small Goods,10
124,Noogler Android Figure,Android,Single Option Only,Accessories,16
125,Google Utensil Set,Google,Single Option Only,New,15
126,Google Keychain,Google,Single Option Only,Small Goods,8
127,Google Cloud Pen,Google Cloud,Single Option Only,Shop by Brand,3
128,Google Heather Green Speckled Tee,Google, SM,Apparel,24
129,Womens Google Striped LS,Google, SM,Apparel,16
130,Google Campus Bike Eco Tee Navy,Google, 2XL,Apparel,25
131,Google Navy Speckled Tee,Google, MD,Apparel,24
132,YouTube Standards Zip Hoodie Black,YouTube, MD,Apparel,60
133,Android Pocket Tee Green,Android, LG,Apparel,29
134,Google PNW Campus Unisex Tee,Google, SM,Clearance,14
135,Google NYC Campus Bottle,Google,Single Option Only,Campus Collection,11
136,Google F/C Longsleeve Ash,Google, XL,Apparel,24
137,YouTube Icon Tee Charcoal,YouTube, 3XL,Apparel,22
138,YouTube Jotter Task Pad,YouTube,Single Option Only,Shop by Brand,2
139,Google Navy Speckled Tee,Google, SM,Apparel,24
140,Google Badge Heavyweight Pullover Black,Google, XS,Apparel,46
141,Google Men's Tech Fleece Grey,Google, XL,Apparel,71
142,Google Badge Heavyweight Pullover Black,Google, XL,Apparel,46
143,Google Crewneck Sweatshirt Navy,Google, MD,Apparel,44
144,Android Iconic Socks,Android,Single Option Only,New,17
145,Android Garden Tee Orange,Android, XL,Apparel,20
146,Google Badge Heavyweight Pullover Black,Google, LG,Apparel,46
147,Google Dino Game Tee,Google, XL,Apparel,32
148,Google Campus Bike Corkbase Mug Blue,Google,Single Option Only,Lifestyle,14
149,Google F/C Longsleeve Charcoal,Google, SM,Apparel,30
150,Google F/C Longsleeve Charcoal,Google, LG,Apparel,24
151,Google Infant Charcoal Onesie,Google, 18/24 MONTHS,Apparel,20
152,Google F/C Longsleeve Ash,Google, MD,Apparel,24
153,YouTube Leather Strap Hat Black,YouTube,Single Option Only,Apparel,12
154,Android Pocket Tee Navy,Android, MD,Apparel,29
155,Youth Jumbo Print Tee White,Google, MD,Apparel,18
156,Google Toddler FC Zip Hoodie,Google, LG,Apparel,28
157,Android Pocket Onesie Navy,Android, 12/18 MONTHS,Apparel,18
158,Google NYC Campus Zip Hoodie,Google, MD,Campus Collection,32
159,Google PNW Campus Zip Hoodie,Google, LG,Clearance,32
160,Android Pocket Toddler Tee Navy,Android, 4T,Apparel,18
161,Google Toddler FC Zip Hoodie,Google, MD,Apparel,28
162,Google Cork Passport Holder,Google,Single Option Only,Accessories,16
163,Google 24oz Ring Bottle Blue,Google,Single Option Only,Google,7
164,Google Women's Puff Jacket Black,Google, MD,Apparel,115
165,Google Thermal Tumbler Navy,Google,Single Option Only,Drinkware,18
166,Android Iconic Mug Gray,Android,Single Option Only,New,17
167,Google Black Cork Journal,Google,Single Option Only,New,12
168,Maze Pen,Google,Single Option Only,Office,1
169,Google F/C Longsleeve Charcoal,Google, XL,Apparel,24
170,Google Woodtop Bottle Black,Google,Single Option Only,New,24
171,Google F/C Longsleeve Ash,Google, SM,Apparel,24
172,Google Toddler Hero Tee Black,Google, 2T,Apparel,13
173,YouTube Crew Socks,YouTube,Single Option Only,Apparel,13
174,Android Buoy Bottle,Android,Single Option Only,Drinkware,4
175,Google Camp Mug Gray,Google,Single Option Only,Shop by Brand,10
176,Google Women's Puff Jacket Black,Google, XL,Apparel,92
177,Google Youth FC Longsleeve Charcoal,Google, MD,Apparel,24
178,Google Crewneck Sweatshirt Navy,Google, SM,Apparel,44
179,Google Cotopaxi Shell,Google, SM,Apparel,38
180,Stainless Straight Straw/Cleaner,Google,Single Option Only,New,3
182,Google Women's Grid Zip-Up,Google, SM,Apparel,63
183,Google Mural Socks,Google,Single Option Only,New,12
184,Android Iconic Hat Green,Android,Single Option Only,New,13
185,Google Perk Thermal Tumbler,Google,Single Option Only,Lifestyle,16
186,Google Frisbee,Google,Single Option Only,Shop by Brand,1
187,Google Super G Tumbler (Blue Lid),Google,Single Option Only,Lifestyle,22
188,Google Beekeepers Tee Mint,Google, MD,Apparel,14
189,Google Raincoat Navy,Google, MD,Apparel,96
191,Google Bot,Google,Single Option Only,Accessories,8
192,Google Youth Badge Tee Olive,Google, SM,Apparel,13
193,Google Beekeepers Toddler Tee Pink,Google, 3T,Apparel,14
194,Google LA Campus Mug,Google,Single Option Only,Campus Collection,7
195,Google Boulder Campus Tote,Google,Single Option Only,Campus Collection,6
196,Unisex Google Pocket Tee Grey,Google, 2XL,Apparel,16
197,Google Beekeepers Tee Mint,Google, 2XL,Apparel,14
198,Google F/C Longsleeve Ash,Google, LG,Apparel,24
200,Google Men's Tech Fleece Grey,Google, LG,Apparel,71
201,Google Sunnyvale Campus Bottle,Google,Single Option Only,Campus Collection,11
202,Google SF Campus Tote,Google,Single Option Only,Campus Collection,6
204,Google Sunnyvale Campus Mug,Google,Single Option Only,Campus Collection,7
205,Google Mens Microfleece Jacket Black,Google, 2XL,Uncategorized Items,42
206,Google Cotopaxi Shell,Google, LG,Apparel,38
207,Google Summer19 Crew Grey,Google, XL,Apparel,35
208,Android Large Trace Journal Black,Android,Single Option Only,Notebooks & Journals,8
209,Stan and Friends Onesie Green,Google, 6/12 MONTHS,Apparel,14
210,Google Black Cloud Zip Hoodie,Google Cloud, MD,Apparel,55
211,Google Black Cloud Zip Hoodie,Google Cloud, LG,Apparel,69
212,Google Beekeepers Onesie Pink,Google, NEWBORN,Apparel,14
213,Google Bear Baby Blanket Beige,Google,Single Option Only,Shop by Brand,19
214,Google Women's Tech Fleece Vest Charcoal,Google, LG,Apparel,44
215,YouTube 25 oz Gear Cap Bottle Black,YouTube,Single Option Only,Drinkware,27
216,YouTube Icon Tee Charcoal,YouTube, XL,Apparel,22
217,Google Youth FC Zip Hoodie,Google, SM,Apparel,36
218,Android Pocket Onesie Navy,Android, 18/24 MONTHS,Apparel,18
219,Google Crewneck Sweatshirt Green,Google, SM,Apparel,44
221,Google Crewneck Sweatshirt Grey,Google, XS,Uncategorized Items,44
222,Google Zip Hoodie F/C,Google, 2XL,Apparel,48
223,Google Red Speckled Tee,Google, XL,Apparel,24
224,Google Black Cloud Zip Hoodie,Google Cloud, SM,Apparel,55
225,Google Bot (Multicolored),Google,Single Option Only,Lifestyle,8
226,Google Mural Mug,Google,Single Option Only,Drinkware,14
227,Google Chrome Dino Light Up Water Bottle,Google,Single Option Only,Shop by Brand,19
228,Google Sunnyvale Campus Ladies Tee,Google, MD,Campus Collection,14
229,Google Sherpa Zip Hoodie Charcoal,Google, MD,Apparel,55
230,Google Clear Framed Yellow Shades,Google,Single Option Only,Accessories,3
231,Google Crewneck Sweatshirt Green,Google, XL,Apparel,44
232,Google Twill Cap Charcoal,Google,Single Option Only,Apparel,10
233,Google Youth Badge Tee Navy,Google, LG,Apparel,13
234,Google Women's Discovery Lt. Rain Shell,Google, XL,Apparel,49
235,Google Split Seam Tee Olive,Google, XL,Apparel,21
236,Flamingo and Friends Tee Blue,Google, SM,Apparel,16
237,Google Men's Tech Fleece Grey,Google, SM,Apparel,71
238,Android Flex Journal White,Android,Single Option Only,Office,2
239,Google Women's Microfleece Jacket Black,Google, SM,Uncategorized Items,75
240,Google Yellow YoYo,Google,Single Option Only,New,3
241,Google Tudes Recycled Tee,Google, MD,Apparel,24
242,Google Mouse Pad Navy,Google,Single Option Only,Accessories,4
243,Google Knit Blanket,Google,Single Option Only,Lifestyle,70
244,Google Phone Stand Bamboo,Google,Single Option Only,Small Goods,4
245,Google Men's Softshell Moss,Google, LG,Apparel,79
246,Google Chrome Dinosaur Collectible,Google,Single Option Only,Accessories,24
247,Google Unisex Eco Tee Black,Google, XL,Uncategorized Items,18
248,Google Beekeepers Toddler Tee Pink,Google, 5/6T,Apparel,14
249,Google Beekeepers Youth Tee Pink,Google, SM,Apparel,14
250,Google Beekeepers Youth Tee Pink,Google, MD,Apparel,14
251,Google Beekeepers Onesie Pink,Google, 12M,Apparel,14
252,Android Iconic Hat Black,Android,Single Option Only,Clearance,9
253,Google Cotopaxi Shell,Google, XS,Apparel,38
254,Android Iconic Crewneck Sweatshirt,Android, XS,Apparel,44
255,Google NYC Campus Zip Hoodie,Google, LG,Campus Collection,32
256,Google Light Pen Red,Google,Single Option Only,Writing Instruments,2
257,Android Pocket Youth Tee Green,Android, MD,Apparel,20
258,Google LA Campus Unisex Tee,Google, LG,Clearance,14
259,Google Mountain View Campus Unisex Tee,Google, SM,Campus Collection,14
260,Google Sherpa Zip Hoodie Charcoal,Google, XL,Apparel,55
261,Google Crewneck Sweatshirt Green,Google, XS,Apparel,44
262,Google Small Cable Organizer Blue,Google,Single Option Only,Accessories,2
263,Google Mountain View Campus Sticker,Google,Single Option Only,Campus Collection,1
264,Google Toddler FC Zip Hoodie,Google, SM,Apparel,35
265,Google Cotopaxi Shell,Google, MD,Apparel,38
266,Google Zip Hoodie F/C,Google, XS,Apparel,48
267,Google Sherpa Zip Hoodie Charcoal,Google, XS,Apparel,55
268,Google Cambridge Campus Lapel Pin,Google,Single Option Only,Campus Collection,3
269,Google NYC Campus Lapel Pin,Google,Single Option Only,Campus Collection,3
270,Google Campus Bike Mini Backpack,Google,Single Option Only,Lifestyle,32
271,Google Dino Game Tee,Google, SM,Apparel,32
272,Google Campus Bike Eco Tee Navy,Google, XS,Apparel,20
273,Google F/C Longsleeve Charcoal,Google, MD,Apparel,24
274,Google Red Speckled Tee,Google, SM,Apparel,24
275,YouTube Icon Tee Grey,YouTube, LG,Apparel,18
276,Google Shoreline Water Bottle,Google Cloud,Single Option Only,Shop by Brand,26
277,Google Large Pet Leash (Red/Yellow),Google,Single Option Only,Accessories,35
278,Google Cup Cap Tumbler Grey,Google,Single Option Only,New,24
279,Google Badge Heavyweight Pullover Black,Google, 3XL,Apparel,46
280,Google Sherpa Zip Hoodie Charcoal,Google, LG,Apparel,55
281,Google Emoji Sticker Pack,Google,Single Option Only,Accessories,4
282,Google Women's Black Tee,Google, 2XL,Apparel,15
283,Google Cambridge Campus Bottle,Google,Single Option Only,Campus Collection,11
284,Google Cambridge Campus Tote,Google,Single Option Only,Campus Collection,6
285,Google Cambridge Campus Sticker,Google,Single Option Only,Campus Collection,1
286,Google Medium Pet Leash (Red/Yellow),Google,Single Option Only,Accessories,28
287,Android Large Removable Sticker Sheet,Android,Single Option Only,Accessories,2
288,Android Iconic 4&quot; Decal,Android,Single Option Only,New,1
289,Google Medium Pet Collar (Red/Yellow),Google,Single Option Only,Accessories,28
290,Supernatural Paper Lunch Sack,Google,Single Option Only,Eco-Friendly,19
291,Unisex Google Pocket Tee Grey,Google, XL,Apparel,16
292,Google Sunglasses,Google, RED,Uncategorized Items,4
293,Google Sunnyvale Campus Sticker,Google,Single Option Only,Campus Collection,1
294,Google LA Campus Tote,Google,Single Option Only,Campus Collection,6
295,Google Chicago Campus Mug,Google,Single Option Only,Campus Collection,7
296,Google LA Campus Lapel Pin,Google,Single Option Only,Campus Collection,3
297,Google Striped Penny Pouch,Google,Single Option Only,Bags,2
298,Google Cotopaxi Shell,Google, 2XL,Apparel,38
299,Google Packable Bag Black,Google,Single Option Only,Bags,16
300,Google Men's Puff Jacket Black,Google, XL,Apparel,92
301,Google Sherpa Vest Black,Google, 2XL,Apparel,63
302,Google Men's Softshell Moss,Google, 3XL,Apparel,79
303,Google Land & Sea French Terry Sweatshirt,Google, 3XL,Shop by Brand,44
304,Google Sunglasses,Google, GREEN,Uncategorized Items,3
305,Google Zip Hoodie F/C,Google, XL,Apparel,48
306,Google Sunglasses,Google, BLUE,Uncategorized Items,3
307,Google Color Block Notebook,Google,Single Option Only,Stationery,12
308,Android Pocket Tee Green,Android, MD,Apparel,29
309,Google PNW Campus Unisex Tee,Google, MD,Clearance,14
310,Flamingo and Friends Tee Blue,Google, MD,Apparel,16
311,Google Super G Tumbler (Red Lid),Google,Single Option Only,Lifestyle,22
312,Google Light Pen Green,Google,Single Option Only,Writing Instruments,2
313,Android Small Trace Journal Black,Android,Single Option Only,Notebooks & Journals,5
